"Sepal.Length","Sepal.Width","Petal.Length","Petal.Width","Species"
6.2,2.82421626984127,4.72241960972207,1.44878743145743,"versicolor"
5.8,2.88667467199468,4.46505447764653,1.40232162115662,"versicolor"
6.7,3.05457126928627,4.93536993617495,1.68883482905983,"versicolor"
6.2,2.82421626984127,4.72241960972207,1.44878743145743,"versicolor"
5.6,2.81458251852722,4.44389780097526,1.37217150793651,"versicolor"
7.6,2.97907825396826,6.17095450095501,2.09569646397119,"virginica"
5.1,3.48072423623762,1.451375,0.267985136442505,"setosa"
5.7,3.1082738031413,4.20578943889444,1.35287521645022,"versicolor"
4.8,3.1785764024864,1.53060876520538,0.195083332690702,"setosa"
5.4,3.54826771783772,1.53664994949495,0.282007248219617,"setosa"
6.7,3.05457126928627,4.93536993617495,1.68883482905983,"versicolor"
6.3,2.84944191483439,5.07983105993851,1.74850531635032,"virginica"
6.3,2.84944191483439,5.07983105993851,1.74850531635032,"virginica"
5.2,3.42901673160173,1.56982916749917,0.29251411976912,"setosa"
6.1,2.84968835386835,4.63710463136709,1.36481492063492,"versicolor"
5.1,3.48072423623762,1.451375,0.267985136442505,"setosa"
6.9,3.12404595238095,5.07872894771895,2.04996564435564,"virginica"
6,2.73927150849151,4.87229092352092,1.68992888888889,"versicolor"
4.4,2.94324904761905,1.52973367243867,0.210215316817686,"setosa"
5.1,3.48072423623762,1.451375,0.267985136442505,"setosa"
6,2.73927150849151,4.87229092352092,1.68992888888889,"versicolor"
6.7,3.05457126928627,4.93536993617495,1.68883482905983,"versicolor"
5.2,3.42901673160173,1.56982916749917,0.29251411976912,"setosa"
6,2.73927150849151,4.87229092352092,1.68992888888889,"versicolor"
5.9,3.0479508080808,4.69665376448904,1.49781741888229,"versicolor"
5.1,3.48072423623762,1.451375,0.267985136442505,"setosa"
6.7,3.05457126928627,4.93536993617495,1.68883482905983,"versicolor"
6.9,3.12404595238095,5.07872894771895,2.04996564435564,"virginica"
5.7,3.1082738031413,4.20578943889444,1.35287521645022,"versicolor"
5,3.10565074189514,1.5899265364314,0.259221243201244,"setosa"
6.9,3.12404595238095,5.07872894771895,2.04996564435564,"virginica"
5.5,2.84900353585957,4.12376850971097,1.30302093795094,"versicolor"
5.1,3.48072423623762,1.451375,0.267985136442505,"setosa"
